epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.086,1.57594,1.61803,1.94329,0.89707,0.79475,0.88903,0.56205,1.26829,1.07293,1.68852,0.000549129,0.000549129,0.000549129
2,1101.23,1.52418,1.38311,1.89471,0.66494,0.51416,0.57699,0.31056,1.53894,1.50065,1.95782,0.00108335,0.00108335,0.00108335
3,1687.84,1.54644,1.42027,1.91291,0.83065,0.69852,0.79348,0.45471,1.48474,1.29554,1.93867,0.001596,0.001596,0.001596
4,2238.43,1.5105,1.38702,1.88339,0.84921,0.79206,0.87955,0.55002,1.32406,1.0074,1.74541,0.00156992,0.00156992,0.00156992
5,2973.21,1.48708,1.37723,1.8575,0.86036,0.71315,0.79126,0.4848,1.28105,1.03365,1.67129,0.00153756,0.00153756,0.00153756
6,3840.95,1.48187,1.35628,1.84844,0.83667,0.54467,0.60546,0.35446,1.40609,1.15704,1.78992,0.0015052,0.0015052,0.0015052
7,4963.18,1.46515,1.30725,1.81445,0.90918,0.74776,0.84039,0.50175,1.3564,0.99455,1.74848,0.00147284,0.00147284,0.00147284
